,AR,AU,AT,BO,BR,CA,CL,CN,CO,HR,CZ,EG,EE,FI,FR,DE,GR,HU,IN,ID,IR,IE,IT,JP,KR,KW,MY,MX,NL,PK,PE,PH,PL,PT,QA,RU,SG,ZA,ES,SE,CH,TH,TR,AE,GB,UY,US,VN,date
29,70,64,89,32,64,44,57,30,66,33,43,56,47,48,30,39,38,59,28,69,21,31,68,44,47,43,50,79,57,75,42,54,44,44,48,64,22,36,42,69,51,79,46,71,44,41,24,73,20200330
30,43,67,100,31,59,46,39,67,53,47,31,45,15,46,45,90,34,84,28,69,38,44,75,53,46,56,42,63,39,63,35,61,53,64,61,71,20,35,38,73,77,75,33,54,41,30,32,65,20200331
31,52,67,90,31,59,49,50,55,54,40,24,55,68,46,55,53,23,71,25,69,45,45,65,73,62,42,34,63,37,60,35,54,39,61,46,68,22,33,44,80,100,71,46,51,42,58,36,72,20200401
32,41,67,72,62,87,58,36,25,45,31,38,64,100,55,55,47,40,56,24,67,50,58,69,84,60,52,35,68,43,55,35,60,44,67,48,73,28,30,49,66,66,76,45,51,72,30,46,73,20200402
33,54,87,65,67,95,80,51,26,57,37,28,69,52,45,44,56,41,60,25,73,36,67,72,83,61,39,37,84,51,57,84,56,53,68,62,60,47,32,59,79,68,79,69,54,60,66,76,77,20200403
34,76,100,58,69,76,100,52,61,38,37,34,75,61,69,83,46,37,76,34,79,40,60,93,65,54,50,38,84,40,50,69,63,63,81,59,63,63,36,70,100,78,76,98,78,59,39,100,81,20200404
35,80,79,49,69,84,82,65,56,76,35,27,80,60,59,69,45,34,64,30,100,55,50,100,58,31,43,39,80,47,55,60,67,58,73,63,65,100,30,75,86,68,80,85,63,47,40,72,79,20200405
36,45,59,68,31,74,74,51,25,76,21,25,68,69,68,56,42,39,37,30,89,63,44,85,89,41,40,37,72,41,40,53,65,42,95,55,69,51,33,72,73,70,63,70,49,45,67,58,78,20200406
37,81,56,44,32,69,81,53,17,92,40,25,73,43,56,53,48,31,48,29,82,33,39,81,84,45,49,36,76,38,48,59,62,37,81,45,65,33,33,67,69,61,62,49,48,43,71,52,83,20200407
38,52,54,62,53,63,60,51,41,67,63,13,71,81,68,100,54,36,34,31,75,31,35,77,71,44,51,33,100,41,52,38,57,52,70,48,52,46,30,60,61,43,56,47,51,43,73,46,72,20200408
39,56,48,47,100,77,52,85,24,49,26,36,66,70,63,72,35,34,57,33,73,39,37,66,76,36,35,35,85,42,48,46,55,100,67,49,47,37,30,68,58,59,57,42,47,38,75,42,72,20200409
40,81,41,40,53,77,54,58,44,64,39,18,54,54,59,45,31,37,51,32,83,31,40,69,74,35,40,36,98,41,50,21,48,74,78,31,54,37,37,65,50,68,52,41,41,39,0,42,73,20200410
41,75,50,52,0,78,49,74,46,65,59,22,61,42,71,47,35,36,55,30,79,46,28,70,71,35,42,36,76,37,53,38,57,60,51,48,65,46,46,61,54,75,50,37,40,35,83,41,83,20200411
42,72,45,45,54,61,44,75,56,58,50,17,64,32,41,44,32,34,58,27,79,36,34,58,57,37,36,31,77,43,43,100,51,54,66,32,76,45,33,66,57,59,49,41,46,31,42,32,68,20200412
43,100,41,37,66,55,41,46,31,92,46,14,64,48,57,53,37,35,48,29,74,43,32,72,65,40,49,29,87,35,54,54,52,56,93,41,48,29,48,62,68,49,47,37,35,49,52,29,70,20200413
44,62,41,58,0,71,38,68,42,57,29,13,57,64,100,43,55,24,69,27,71,25,32,60,63,41,43,30,77,35,45,56,54,61,100,53,50,38,42,62,60,83,43,38,40,48,30,31,78,20200414
45,79,38,50,81,68,39,55,48,100,21,19,52,44,59,47,52,36,44,26,73,31,29,64,66,33,43,28,86,39,39,53,58,65,72,39,56,42,36,68,49,72,37,39,35,41,49,33,86,20200415
46,73,36,38,48,60,40,35,35,60,18,19,46,36,50,48,46,31,50,27,72,42,44,66,61,26,36,28,89,43,45,69,63,78,74,46,69,39,44,78,75,67,50,38,38,44,33,40,69,20200416
47,90,42,47,32,72,43,66,32,61,52,18,64,33,66,45,47,26,39,25,75,52,49,70,61,26,29,30,77,34,41,69,58,74,75,41,52,32,35,87,60,65,49,39,38,64,0,38,59,20200417
48,59,44,36,70,100,47,77,44,82,33,11,60,31,59,54,49,20,58,27,76,31,39,82,61,30,47,29,56,38,41,52,56,79,90,51,64,31,37,100,53,39,43,41,27,51,40,42,83,20200418
49,66,38,41,36,73,42,91,47,62,23,12,39,46,44,57,42,38,57,27,75,43,40,68,56,25,70,26,72,42,40,58,51,58,71,47,78,25,35,78,58,59,42,43,34,45,60,36,83,20200419
50,68,34,34,73,68,38,82,25,83,33,13,61,34,35,44,50,23,51,27,64,29,43,69,71,40,18,29,72,49,42,44,54,54,59,20,47,21,40,66,56,86,41,39,34,44,63,30,68,20200420
