국가,운항_도착,운항_출발,운항_합계,여객_도착,여객_출발,여객_합계
Japan,"2,569","2,575","5,144","391,791","364,472","756,263"
China,"4,888","4,960","9,848","695,492","742,125","1,437,617"
Taiwan,626,626,"1,252","159,950","163,227","323,177"
Mongolia,70,70,140,"13,616","13,799","27,415"
Laos,124,124,248,"19,588","20,186","39,774"
Malaysia,416,421,837,"93,981","102,596","196,577"
Myanmar,47,47,94,"6,096","7,200","13,296"
Vietnam,"1,959","1,959","3,918","369,038","395,702","764,740"
Brunei,18,18,36,"2,397","2,193","4,590"
Singapore,283,286,569,"69,794","72,744","142,538"
Indonesia,165,165,330,"41,275","41,348","82,623"
Cambodia,101,101,202,"17,246","20,752","37,998"
Thailand,793,793,"1,586","195,362","206,824","402,186"
Philippines,"1,152","1,152","2,304","205,660","229,328","434,988"
Mexico,38,37,75,"4,403","4,785","9,188"
US,"1,250","1,183","2,433","221,093","196,625","417,718"
Brazil,11,9,20,0,0,0
Chile,0,0,0,0,0,0
Canada,109,109,218,"28,269","26,141","54,410"
Peru,0,0,0,0,0,0
Netherlands,49,49,98,"12,886","12,282","25,168"
Norway,10,9,19,0,0,0
Germany,215,213,428,"30,667","30,287","60,954"
Russia,322,322,644,"40,311","33,083","73,394"
Luxembourg,12,12,24,0,0,0
Belgium,14,14,28,0,0,0
Sweden,8,8,16,0,0,0
Switzerland,4,3,7,0,0,0
Spain,56,56,112,"10,955","11,558","22,513"
Azerbaijan,14,14,28,0,0,0
United Kingdom,90,89,179,"18,885","18,710","37,595"
Austria,13,13,26,"2,647","2,520","5,167"
Uzbekistan,63,64,127,"9,180","13,480","22,660"
Italy,110,108,218,"18,464","18,107","36,571"
Czechia,32,31,63,"6,750","6,668","13,418"
Kazakhstan,38,39,77,"5,490","6,906","12,396"
Kyrgyzstan,93,94,187,"21,693","21,826","43,519"
Turkey,9,9,18,"1,979","2,084","4,063"
Portugal,21,21,42,"4,983","4,880","9,863"
Poland,85,84,169,"25,956","25,088","51,044"
France,29,29,58,"7,644","7,305","14,949"
Finland,13,13,26,"2,399","2,427","4,826"
Hungary,325,325,650,"58,872","58,136","117,008"
Guam,48,49,97,"14,046","14,222","28,268"
New Zealand,185,186,371,"30,459","31,110","61,569"
Palau,27,26,53,"2,929","3,133","6,062"
Hawaii,129,128,257,"27,610","29,575","57,185"
Australia,104,104,208,"36,616","31,819","68,435"
Lebanon,2,2,4,338,299,637
United Arab Emirates,94,95,189,"26,567","29,429","55,996"
Israel,13,13,26,"2,404","2,032","4,436"
Qatar,53,53,106,"7,328","8,257","15,585"
Nepal,18,18,36,"3,319","3,725","7,044"
Maldives,13,13,26,"1,370","1,386","2,756"
Sri Lanka,0,0,0,"1,593","1,962","3,555"
Ethiopia,31,22,53,"2,553","2,673","5,226"
Egypt,5,6,11,"1,052","1,537","2,589"
India,62,62,124,"11,880","12,947","24,827"
